Event Name,Format,Organizer,Start Date,City,Country,Description,URL
IT-S NOW! Conference 2025,In Person,"FH Campus Wien, University of Applied Sciences",2025-06-05,Vienna,Austria,"A 2-day conference about IT-Security. Where hackers, researchers, and industry meet! Join us at this special conference where researchers and industry professionals come together to share their knowledge and insights on the latest trends and techniques in the world of IT-Security. The conference will feature interactive sessions and a dynamic setting, providing the perfect opportunity to learn from experts in the field and connect with your peers.",https://its-now.science/
"Sun, Sand & Staying Safe Online",Virtual,staysafeonline.org,2025-06-05,'','',"Join us as we give simple, practical tips to keep your personal information safe while you’re on the move. We’ll cover how to use Wi-Fi wisely, what to avoid on your devices while traveling, and how to spot (and stop) common travel scams.",https://www.staysafeonline.org/events/sun-sand-staying-safe-online
FutureCon Cybersecurity Conference,In Person,FutureCon Events,2025-06-05,Pittsburgh,United States,"Join FutureCon in Pittsburgh for a cybersecurity event featuring esteemed speakers, up to 10 CPE credits, and insights into the latest cybersecurity developments. Learn how to manage risk, demo new technologies, and network with the local community. The event will also include a special ceremony recognizing honorary attendees with an Award of Excellence.",https://futureconevents.com/events/pittsburgh-pa-2025
2030: The Future of Technology and the Legal Sector,In Person,chilliiqlawevents.com.au,2025-06-04,Sydney,Australia,"2030 : The future of Technology and the Legal Sector, is a pioneering conference that brings together thought leaders, innovators, and practitioners from the legal and technology sectors to explore the future of law in the age of Generative AI. Attendees will engage in keynote presentations, panel discussions, workshops, and networking opportunities to delve into the most pressing questions and opportunities at the intersection of technology, Gen AI, and the legal sector.",https://www.chilliiqlawevents.com.au/2030thefutureoftechnologysydney
KCD New York 2025,In Person,CNCF KCD New York,2025-06-04,New York City,United States,"After a sold-out debut in 2024, KCD New York returns to Manhattan on June 4, 2025, for a day of cloud-native insights, technical talks, roundtable discussions, and community connection. Whether you're a Kubernetes veteran or just getting started, KCD New York is your chance to learn from industry leaders, discover the latest in open source innovation, and connect with others who are shaping the future of infrastructure.",https://community.cncf.io/events/details/cncf-kcd-new-york-presents-kcd-new-york-2025/
AI & Big Data Expo: North America,In Person,ai-expo.net,2025-06-04,Santa Clara,United States,"""There’s a real buzz in the room here, the number of stands and interesting people to talk to, different topics you can learn about in such quick succession - I’ve just really enjoyed the variety and the ability to learn about things I didn’t know before, and meet some new connections."" Donna Wayman COO at Zurich Insurance",https://www.ai-expo.net/northamerica/
IoT Tech Expo North America 2025,In Person,IoT Tech Expo,2025-06-04,Santa Clara,United States,"IoT Tech Expo North America is the leading event for IoT, Digital Twins & Enterprise Transformation, IoT Security, IoT Connectivity & Connected Devices, Smart Infrastructures & Automation, Data & Analytics and Edge Platforms. It brings together eight co-located events — AI & Big Data, Cyber Security, IoT, Digital Transformation, Cloud Transformation, Intelligent Automation, Edge Computing, and Data Centers.",https://www.iottechexpo.com/northamerica/
Cloud Transformation Conference,In Person,cloudtransformationconference,2025-06-04,Santa Clara,United States,"TechEx is a global exhibition and conference showcasing enterprise tech innovation. Featuring real-world use cases and industry insights, it explores AI, Big Data, Cyber Security, IoT, Digital Transformation, Cloud, Transformation, Intelligent Automation, Edge Computing and Data Centres ecosystems.",https://cloudtransformationconference.com/northamerica/
TechEx North America 2025,In Person,TechEx North America,2025-06-04,Santa Clara,United States,"TechEx North America brings together seven co-located technology events: AI & Big Data, Cyber Security, IoT, Digital Transformation, Intelligent Automation, Edge Computing and Data Centers, creating a comprehensive platform for tech-led teams. Discover groundbreaking technologies, connect with industry leaders, and equip your team with the tools to thrive in the digital era.",https://techexevent.com/northamerica/
Cyber Security Congress North America,In Person,Cyber Security Congress,2025-06-04,Santa Clara,United States,"The Cyber Security Congress, a key part of TechEx North America, is the premier event showcasing Zero-Day Vigilance, Threat Detection, Deep Learning, Global Cyber Conflicts, AI & ML, and Generative AI. It is your one-stop destination to explore the future of enterprise innovation, bringing together cybersecurity professionals and industry leaders.",https://www.cybersecuritycloudexpo.com/northamerica/
AccessSecurity Marseille 2025,In Person,AccesSecurity,2025-06-04,Marseille,France,"AccesSecurity is a 100% business event in the cybersecurity sector featuring a trade show, business meetings, buyer roundtables, masterclasses, innovation awards, workshops, and networking events.",https://accessecurity.fr/
Edge Computing Expo: North America 2025,In Person,TechEx North America,2025-06-04,Santa Clara,United States,"Edge Computing Expo, a key part of TechEx North America, is the leading event for Edge Platforms, Digital Twin, Robotics & Computer Vision, Edge AI, Future Progressions and Accelerating Transformation. The event brings together professionals to explore the future of enterprise innovation, offering insights on the latest trends, identifying business opportunities, and learning how Edge Computing is transforming industries.",https://edgecomputing-expo.com/northamerica/
Cloud & AI Infrastructure Frankfurt,In Person,techshowfrankfurt.de,2025-06-04,Frankfurt,Germany,"We bring together a diverse range of exhibitors, from global technology leaders and disruptive startups to top solution providers and consultancy firms. Our exhibitors showcase the latest advancements in cloud infrastructure, edge computing, containerization, and AI-driven solutions—empowering visitors with actionable strategies to overcome their most pressing challenges.",https://www.techshowfrankfurt.de/cloud-ai-infrastructure
Data Centre World Frankfurt,In Person,Data Centre World Frankfurt,2025-06-04,Frankfurt,Germany,"Data Centre World Frankfurt is the leading event in Germany for global experts, cutting-edge technology, and pioneering solutions in the industry. Explore the latest advancements in cooling, power, security, automation, and more, while connecting with thousands of professionals from across the DACH region and beyond. Whether you're optimizing existing data centres or planning new builds, this is the must-attend event for forward-thinking leaders and decision-makers.",https://www.techshowfrankfurt.de/data-centre-world
DevTalks Bucharest 2025,In Person,DevTalks,2025-06-04,Bucharest,Romania,"DevTalks is the largest tech conference in CEE, bringing together developers and IT professionals. The event features keynote speeches, panel discussions, and showcases innovations in various tech fields like Java, Web, Mobile, Big Data & Cloud, and a dedicated Women in Tech Stage.",https://www.devtalks.ro/
